trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-312.2874790434264,"{0: 28, 1: 12, 2: 16, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-514.330328246409,"{0: 22, 1: 10, 2: 8, 3: 0, 4: 10}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-229.48050352562052,"{0: 17, 1: 10, 2: 8, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-130.0495603780343,"{0: 24, 1: 4, 2: 10, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-273.55353825809345,"{0: 29, 1: 10, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-45.025828736609164,"{0: 30, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,5,-118.55902438389265,"{0: 16, 1: 0, 2: 14, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-66.31894527477644,"{0: 27, 1: 6, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-109.72387686534186,"{0: 27, 1: 4, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-238.84431431036728,"{0: 26, 1: 14, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-88.26408320286617,"{0: 29, 1: 2, 2: 5, 3: 4, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-17.44474442442105,"{0: 33, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-109.68514028182331,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-161.92969892322094,"{0: 21, 1: 6, 2: 9, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-38.15388454660804,"{0: 31, 1: 6, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-7.633157638453518,"{0: 30, 1: 10, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-190.1117713968766,"{0: 52, 1: 10, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-83.47775277501182,"{0: 46, 1: 8, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,18.228946767315488,"{0: 43, 1: 6, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,17.717328467204805,"{0: 36, 1: 4, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-66.24491376612326,"{0: 27, 1: 10, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-32.37864374006195,"{0: 33, 1: 6, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,10,27.885064717302768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-5.248191870484021,"{0: 48, 1: 10, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-46.83621244959796,"{0: 38, 1: 8, 2: 2, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-34.72721556741029,"{0: 43, 1: 16, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-28.536900944555057,"{0: 37, 1: 12, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-106.22904423004053,"{0: 23, 1: 16, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-45.05977069659795,"{0: 28, 1: 10, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,19.20241914293816,"{0: 36, 1: 4, 2: 0, 3: 0, 4: 0}",0
