trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9991004048785274}",30,0,-30.628750203684856,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9982016190284373}",30,0,-249.30749274628232,"{0: 13, 1: 0, 2: 10, 3: 6, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9973036417217132}",35,0,-160.08245788838002,"{0: 24, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9964064722309933}",25,0,-150.44080399657327,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9955101098295706}",20,0,-229.28212951984617,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9946145537913912}",20,0,-131.81344683861585,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9937198033910547}",25,0,-148.24381669583067,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9928258579038134}",25,0,-6.625127000151146,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9919327166055711}",30,19,-50.12948467503969,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9910403787728836}",25,0,-135.01028114391823,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9901488436829572}",20,0,-100.29936180747238,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9892581106136482}",35,10,-204.71172089205191,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.9883681788434628}",20,0,-76.48134781543293,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9874790476515565}",25,0,-168.19220885009878,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9865907163177327}",25,0,-45.64564001480477,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.985703184122443}",25,0,-215.06298266466248,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9848164503467863}",25,0,-234.10558824215443,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9839305142725083}",20,0,-97.73487619865003,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9830453751820007}",25,0,-303.84858457701046,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.9821610323583008}",30,0,-212.74123051836492,"{0: 17, 1: 0, 2: 7, 3: 4, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9812774850850906}",30,0,-133.15941585307255,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9803947326466971}",25,0,-162.52228187326563,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9795127743280907}",25,0,-222.87755632916313,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9786316094148849}",20,0,-107.9676582702408,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9777512371933363}",20,5,-44.62396051202763,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9768716569503434}",25,0,-127.19167116584974,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.975992867973446}",30,0,-190.18134324484404,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9751148695508249}",25,0,-259.4097864808993,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
29,False,"{'a': 0.5, 'e': 0.9742376609713015}",20,7,-26.147366531483563,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-167.97313230222503,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9724856105000309}",20,0,-66.1277534967627,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9716107671891228}",20,1,-9.986052463332268,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9707367108829891}",20,0,-129.87399569557516,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9698634408736443}",25,14,-98.78542528959292,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.9689909564537397}",25,0,-246.45270173603245,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.9681192569165628}",30,0,-221.46734563082958,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9672483415560369}",35,0,-277.5884106539961,"{0: 21, 1: 0, 2: 6, 3: 4, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.9663782096667205}",20,0,-81.10373272264498,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9655088605438069}",30,0,-130.46403050007547,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9646402934831231}",30,0,-209.45241484581956,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9637725077811297}",20,0,-95.92568370476533,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9629055027349203}",20,0,-166.5773174087823,"{0: 10, 1: 0, 2: 4, 3: 5, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9620392776422207}",25,0,-199.07780764656437,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9611738318013887}",30,0,-87.84455613100327,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.960309164511413}",20,0,-149.2246504266925,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.959445275071913}",30,0,-202.35153523892004,"{0: 15, 1: 0, 2: 10, 3: 4, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9585821627831383}",30,0,-195.50929944706135,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9577198269459679}",20,0,-110.89800355538497,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9568582668619097}",20,0,-175.3493462286413,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9559974818331}",30,4,-160.47215068183874,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.9551374711623027}",25,5,-64.90767094835061,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9542782341529094}",35,0,-186.37256264971757,"{0: 24, 1: 0, 2: 7, 3: 1, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9534197701089379}",25,17,-7.508686437506583,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9525620783350323}",20,12,-42.40846900486009,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.9517051581364622}",20,0,-240.35045876366203,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 5}",0
56,False,"{'a': 0.5, 'e': 0.9508490088191223}",20,0,-191.75995867147017,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9499936296895315}",20,0,-126.62405385649163,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9491390200548326}",20,0,-87.97110543976184,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.948285179222792}",35,0,-103.03342978657267,"{0: 23, 1: 0, 2: 11, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-122.86113627369274,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9465798012008627}",20,0,-165.85489599639428,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9457282626296178}",25,0,-112.80131398611313,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9448774900983175}",30,0,-168.4995706573877,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9440274829178357}",35,0,-169.7499447848742,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9431782403996666}",20,2,-237.30284190896546,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 5}",1
66,False,"{'a': 0.5, 'e': 0.9423297618559239}",30,0,-238.89308869356742,"{0: 13, 1: 0, 2: 12, 3: 3, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9414820465993399}",20,0,-118.83302616332753,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9406350939432649}",25,0,-206.87393408025633,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
