trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.06860825759588,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.42270872509953,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.82556161598785,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.8505260253309,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.62032672731462,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-300.1732264217677,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.9425710555724,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.60186009467064,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.3552113431807,"{0: 10, 1: 0, 2: 14, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.16278443947861,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.40918545488256,"{0: 16, 1: 0, 2: 13, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.66041833869332,"{0: 12, 1: 0, 2: 16, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.51666150213333,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.1633690825072,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.14198723590556,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.8975856472545,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.73216265920453,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.87146141877504,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-285.3323263886934,"{0: 6, 1: 0, 2: 9, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-153.71433288337246,"{0: 4, 1: 0, 2: 8, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-208.30111565182153,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.27378798782921,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-305.28511431137485,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.02635022860377,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,14,-41.88081308149767,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.6732994925681,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.8846163927045,"{0: 16, 1: 0, 2: 12, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-289.3010875628676,"{0: 7, 1: 0, 2: 14, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-251.06949911153413,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-211.2359396474347,"{0: 9, 1: 0, 2: 14, 3: 0, 4: 2}",0
