trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.93243310917848,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-274.35774581527085,"{0: 14, 1: 0, 2: 12, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.91703322414955,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-266.74572718178416,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-259.8071479423392,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-266.83251712559917,"{0: 5, 1: 0, 2: 11, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.21015895785865,"{0: 10, 1: 0, 2: 13, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.28803797104032,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.47812940635455,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.59351567619245,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.68263367295862,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-279.9587088019132,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.12697933862776,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.49756695023932,"{0: 16, 1: 0, 2: 14, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-233.05157897661582,"{0: 5, 1: 0, 2: 12, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.11180139498148,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.2184428606464,"{0: 11, 1: 0, 2: 11, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.8649918457066,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-265.0118728241734,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-293.9225450647256,"{0: 7, 1: 0, 2: 14, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-223.36207400586306,"{0: 17, 1: 0, 2: 16, 3: 0, 4: 2}",0
